|    Normal     | Preprocessed  | Test Name
+---------------+---------------+---------------------------------
|  119.98 ERROR |  119.94 ERROR | adder-10-sat.qdimacs
|  119.63 ERROR |  119.98 ERROR | adder-12-sat.qdimacs
|  119.95 ERROR |  119.97 ERROR | adder-12-unsat.qdimacs
|  119.98 ERROR |  119.99 ERROR | adder-14-sat.qdimacs
|  120.02 ERROR |  120.07 ERROR | Adder2-10-s.qdimacs
|  120.02 ERROR |  120.10 ERROR | Adder2-16-s.qdimacs
|       0 UNSAT |       0 UNSAT | Adder2-2-c.qdimacs
|     .01 UNSAT |     .01 UNSAT | Adder2-8-c.qdimacs
|  120.00 ERROR |  116.73   SAT | Adder2-8-s.qdimacs
|       0 UNSAT |       0 UNSAT | adder-2-unsat.qdimacs
|     .06   SAT |       0   SAT | aim-100-1_6-yes1-2-00.qdimacs
|     .08   SAT |       0   SAT | aim-100-6_0-yes1-3-50.qdimacs
|    2.14   SAT |   38.45   SAT | aim-200-1_6-yes1-4-90.qdimacs
|     .06 UNSAT |       0 UNSAT | aim-50-6_0-yes1-3-50.qdimacs
|  119.82 ERROR |  119.26 ERROR | arbiter-06-comp-error01-qbf-hardness-depth-12.qdimacs
|  120.00 ERROR |  120.05 ERROR | arbiter-06-comp-error01-qbf-hardness-depth-15.qdimacs
|  119.96 ERROR |    3.80 UNSAT | arbiter-06-comp-error02-qbf-hardness-depth-5.qdimacs
|  119.93 ERROR |  120.02 ERROR | arbiter-07-comp-error01-qbf-hardness-depth-11.qdimacs
|  119.61 ERROR |  119.98 ERROR | arbiter-07-comp-error01-qbf-hardness-depth-20.qdimacs
|    3.68 UNSAT |       0 UNSAT | arbiter-07-comp-error01-qbf-hardness-depth-4.qdimacs
|  119.85 ERROR |   40.31 UNSAT | arbiter-07-comp-error02-qbf-hardness-depth-6.qdimacs
|  119.55 ERROR |  119.76 ERROR | arbiter-08-comp-error02-qbf-hardness-depth-9.qdimacs
|  119.98 ERROR |         ERROR | arbiter-10-comp-error01-qbf-hardness-depth-10.qdimacs
|  117.42 ERROR |       0 ERROR | arbiter-10-comp-error01-qbf-hardness-depth-22.qdimacs
|  113.96 ERROR |  116.44 ERROR | audio_ddksynth_csynth2.cpp.qdimacs
|     .04   SAT |       0   SAT | b12_PR_9_2.qdimacs
|  118.29 ERROR |  118.75 ERROR | b20_C_3_2.qdimacs
|  118.01 ERROR |  116.25 ERROR | b20_PR_7_20.qdimacs
|     .09 UNSAT |     .01 UNSAT | b20_PR_7_90.qdimacs
|  116.54 ERROR |  115.42 ERROR | b21_C_3_206.qdimacs
|  118.12 ERROR |         ERROR | b22_C_2_12.qdimacs
|         ERROR |       0 ERROR | b22_PR_8_20.qdimacs
|  119.37 ERROR |       0 ERROR | biu.mv.xl_ao.bb-b001-p005-OPF03-c09.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-003.qdimacs
|  118.43 ERROR |       0 ERROR | biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004.qdimacs
|  118.39 ERROR |       0 ERROR | biu.mv.xl_ao.bb-b001-p005-OPF05-c03.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004.qdimacs
|  118.64 ERROR |       0 ERROR | biu.mv.xl_ao.bb-b001-p010-IPF02-c07.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-003.qdimacs
|         ERROR |       0 ERROR | biu.mv.xl_ao.bb-b001-p010-IPF02-c08.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-003.qdimacs
|         ERROR |       0 ERROR | biu.mv.xl_ao.bb-b001-p010-IPF05-c07.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-003.qdimacs
|  119.93 ERROR |       0 ERROR | biu.mv.xl_ao.bb-b001-p010-MIF01-c01.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004.qdimacs
|  119.92 ERROR |       0 ERROR | biu.mv.xl_ao.bb-b001-p010-MIF04-c06.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005.qdimacs
|  119.83 ERROR |       0 ERROR | biu.mv.xl_ao.bb-b001-p010-MIF05-c07.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004.qdimacs
